# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,19960101,  -14
  260,19960102,  -21
  260,19960103,  -13
  260,19960104,    5
  260,19960105,   -7
  260,19960106,  -30
  260,19960107,   40
  260,19960108,   47
  260,19960109,   53
  260,19960110,   57
  260,19960111,   63
  260,19960112,   87
  260,19960113,   81
  260,19960114,   56
  260,19960115,   29
  260,19960116,   13
  260,19960117,    7
  260,19960118,   -9
  260,19960119,  -18
  260,19960120,   -8
  260,19960121,   -8
  260,19960122,   -9
  260,19960123,  -39
  260,19960124,  -36
  260,19960125,  -78
  260,19960126,  -92
  260,19960127,  -59
  260,19960128,  -47
  260,19960129,  -31
  260,19960130,  -24
  260,19960131,  -24
  260,19960201,  -22
  260,19960202,  -16
  260,19960203,  -11
  260,19960204,   -1
  260,19960205,   -6
  260,19960206,  -37
  260,19960207,  -53
  260,19960208,  -80
  260,19960209,  -46
  260,19960210,   27
  260,19960211,   41
  260,19960212,   36
  260,19960213,   11
  260,19960214,   -8
  260,19960215,    3
  260,19960216,   60
  260,19960217,   54
  260,19960218,   46
  260,19960219,    1
  260,19960220,  -28
  260,19960221,  -40
  260,19960222,  -13
  260,19960223,   -3
  260,19960224,   29
  260,19960225,   76
  260,19960226,   50
  260,19960227,   32
  260,19960228,   31
  260,19960229,   28
  260,19960301,   26
  260,19960302,   10
  260,19960303,    7
  260,19960304,   14
  260,19960305,   24
  260,19960306,   45
  260,19960307,   30
  260,19960308,   34
  260,19960309,   33
  260,19960310,   24
  260,19960311,  -10
  260,19960312,  -23
  260,19960313,  -19
  260,19960314,    8
  260,19960315,   34
  260,19960316,   39
  260,19960317,   47
  260,19960318,   49
  260,19960319,   42
  260,19960320,   62
  260,19960321,   77
  260,19960322,   75
  260,19960323,   86
  260,19960324,   58
  260,19960325,   78
  260,19960326,   28
  260,19960327,   20
  260,19960328,   24
  260,19960329,   35
  260,19960330,   23
  260,19960331,   15
  260,19960401,    6
  260,19960402,    8
  260,19960403,   30
  260,19960404,   59
  260,19960405,   67
  260,19960406,   67
  260,19960407,   65
  260,19960408,   66
  260,19960409,   87
  260,19960410,  108
  260,19960411,   79
  260,19960412,   31
  260,19960413,   51
  260,19960414,   67
  260,19960415,   88
  260,19960416,  121
  260,19960417,  132
  260,19960418,  111
  260,19960419,  140
  260,19960420,  164
  260,19960421,  176
  260,19960422,  191
  260,19960423,  156
  260,19960424,  111
  260,19960425,  105
  260,19960426,  117
  260,19960427,  132
  260,19960428,  115
  260,19960429,   78
  260,19960430,   88
  260,19960501,  115
  260,19960502,  106
  260,19960503,   81
  260,19960504,   72
  260,19960505,   60
  260,19960506,   76
  260,19960507,   97
  260,19960508,   92
  260,19960509,   92
  260,19960510,   70
  260,19960511,   86
  260,19960512,   86
  260,19960513,   87
  260,19960514,   97
  260,19960515,   87
  260,19960516,   76
  260,19960517,   86
  260,19960518,  108
  260,19960519,  130
  260,19960520,  110
  260,19960521,  108
  260,19960522,  112
  260,19960523,  127
  260,19960524,  147
  260,19960525,  128
  260,19960526,  131
  260,19960527,  109
  260,19960528,  112
  260,19960529,  163
  260,19960530,  201
  260,19960531,  173
  260,19960601,  139
  260,19960602,  136
  260,19960603,  152
  260,19960604,  165
  260,19960605,  210
  260,19960606,  232
  260,19960607,  259
  260,19960608,  217
  260,19960609,  148
  260,19960610,  200
  260,19960611,  205
  260,19960612,  156
  260,19960613,  142
  260,19960614,  122
  260,19960615,  139
  260,19960616,  157
  260,19960617,  177
  260,19960618,  153
  260,19960619,  128
  260,19960620,  122
  260,19960621,  113
  260,19960622,  118
  260,19960623,  116
  260,19960624,  121
  260,19960625,  125
  260,19960626,  161
  260,19960627,  153
  260,19960628,  157
  260,19960629,  130
  260,19960630,  147
  260,19960701,  140
  260,19960702,  143
  260,19960703,  164
  260,19960704,  162
  260,19960705,  144
  260,19960706,  124
  260,19960707,  131
  260,19960708,  126
  260,19960709,  141
  260,19960710,  143
  260,19960711,  174
  260,19960712,  175
  260,19960713,  174
  260,19960714,  174
  260,19960715,  155
  260,19960716,  147
  260,19960717,  149
  260,19960718,  138
  260,19960719,  158
  260,19960720,  186
  260,19960721,  198
  260,19960722,  222
  260,19960723,  205
  260,19960724,  158
  260,19960725,  161
  260,19960726,  176
  260,19960727,  160
  260,19960728,  161
  260,19960729,  186
  260,19960730,  185
  260,19960731,  179
  260,19960801,  167
  260,19960802,  159
  260,19960803,  159
  260,19960804,  176
  260,19960805,  193
  260,19960806,  171
  260,19960807,  151
  260,19960808,  173
  260,19960809,  204
  260,19960810,  206
  260,19960811,  180
  260,19960812,  168
  260,19960813,  187
  260,19960814,  184
  260,19960815,  177
  260,19960816,  163
  260,19960817,  164
  260,19960818,  189
  260,19960819,  222
  260,19960820,  228
  260,19960821,  181
  260,19960822,  178
  260,19960823,  184
  260,19960824,  164
  260,19960825,  153
  260,19960826,  157
  260,19960827,  140
  260,19960828,  146
  260,19960829,  148
  260,19960830,  159
  260,19960831,  133
  260,19960901,  126
  260,19960902,  130
  260,19960903,  149
  260,19960904,  148
  260,19960905,  149
  260,19960906,  130
  260,19960907,  119
  260,19960908,  115
  260,19960909,  138
  260,19960910,  132
  260,19960911,  124
  260,19960912,  129
  260,19960913,  125
  260,19960914,  135
  260,19960915,  121
  260,19960916,  113
  260,19960917,  116
  260,19960918,  114
  260,19960919,  107
  260,19960920,  113
  260,19960921,  102
  260,19960922,   95
  260,19960923,  100
  260,19960924,   99
  260,19960925,  111
  260,19960926,  133
  260,19960927,  145
  260,19960928,  133
  260,19960929,  148
  260,19960930,  147
  260,19961001,  102
  260,19961002,   89
  260,19961003,  120
  260,19961004,  118
  260,19961005,   93
  260,19961006,   87
  260,19961007,   95
  260,19961008,  112
  260,19961009,  125
  260,19961010,  116
  260,19961011,  106
  260,19961012,   95
  260,19961013,  117
  260,19961014,  148
  260,19961015,  130
  260,19961016,   95
  260,19961017,   80
  260,19961018,   90
  260,19961019,  116
  260,19961020,  129
  260,19961021,  127
  260,19961022,   96
  260,19961023,   94
  260,19961024,   99
  260,19961025,  107
  260,19961026,  108
  260,19961027,  112
  260,19961028,  134
  260,19961029,  107
  260,19961030,   97
  260,19961031,   95
  260,19961101,  116
  260,19961102,  139
  260,19961103,  138
  260,19961104,  130
  260,19961105,  100
  260,19961106,  116
  260,19961107,   89
  260,19961108,   63
  260,19961109,   77
  260,19961110,   67
  260,19961111,   65
  260,19961112,   86
  260,19961113,   55
  260,19961114,   27
  260,19961115,   10
  260,19961116,   28
  260,19961117,   23
  260,19961118,   39
  260,19961119,   30
  260,19961120,   56
  260,19961121,   41
  260,19961122,   40
  260,19961123,   17
  260,19961124,   23
  260,19961125,   45
  260,19961126,   38
  260,19961127,   10
  260,19961128,   16
  260,19961129,   34
  260,19961130,   41
  260,19961201,   48
  260,19961202,   74
  260,19961203,   62
  260,19961204,   67
  260,19961205,   49
  260,19961206,   54
  260,19961207,   53
  260,19961208,   19
  260,19961209,   -3
  260,19961210,   -4
  260,19961211,  -10
  260,19961212,   -6
  260,19961213,   12
  260,19961214,    1
  260,19961215,   67
  260,19961216,   52
  260,19961217,   30
  260,19961218,   55
  260,19961219,   60
  260,19961220,    0
  260,19961221,  -35
  260,19961222,  -22
  260,19961223,  -26
  260,19961224,  -45
  260,19961225,  -27
  260,19961226,  -53
  260,19961227,  -49
  260,19961228,  -86
  260,19961229,  -43
  260,19961230,  -12
  260,19961231,  -97
  260,19970101, -114
